PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE
Jahlil Okafor,NOP,23,59,23,36,15.8,106.0,111.5,-5.5,6.4,0.77,8.2,8.4,19.6,14.0,10.7,58.7,60.3,19.8,103.79,11.5
Jared Dudley,BKN,33,59,28,31,20.7,109.4,108.6,0.8,9.3,1.93,21.5,2.7,9.6,6.1,11.1,53.3,55.4,10.4,100.22,4.9
Rondae Hollis-Jefferson,BKN,24,59,27,32,20.9,106.3,105.6,0.7,11.9,1.41,13.1,6.0,17.0,11.5,9.3,42.0,46.4,21.0,103.82,8.8
Tim Frazier,MIL,28,59,27,32,19.0,107.9,110.6,-2.7,28.6,3.26,40.7,3.5,10.6,7.1,12.5,51.5,54.4,13.2,104.60,8.1
Boban Marjanovic,PHI,30,58,31,27,11.7,105.3,105.3,0.1,12.8,0.92,12.6,12.4,23.2,18.0,13.7,62.3,66.4,22.2,104.16,16.4
Chris Paul,HOU,34,58,39,19,32.0,112.4,104.2,8.3,38.2,3.11,33.1,1.9,12.3,7.0,10.6,50.8,56.0,22.0,100.37,13.8
Harry Giles III,SAC,21,58,26,32,14.1,104.1,109.1,-5.0,15.5,1.16,15.5,7.6,17.1,12.5,13.3,50.3,52.6,22.7,106.54,9.0
James Ennis III,PHI,28,58,35,23,21.2,110.5,109.8,0.7,4.7,1.21,10.1,4.8,9.9,7.4,8.4,56.3,59.0,12.5,101.02,5.6
Jaren Jackson Jr.,MEM,19,58,23,35,26.1,101.3,103.6,-2.3,7.4,0.65,7.7,4.9,13.2,9.0,11.7,54.9,59.1,23.1,96.48,10.0
Mario Hezonja,NYK,24,58,12,46,20.8,102.0,112.0,-10.0,11.6,1.00,12.8,2.1,16.8,9.3,12.8,45.7,49.7,20.8,100.79,8.2
Markieff Morris,OKC,29,58,24,34,21.9,107.1,113.0,-5.9,9.2,1.46,12.0,4.5,16.1,10.1,8.2,49.2,52.1,19.1,102.63,7.5
Sterling Brown,MIL,24,58,45,13,17.8,106.4,106.1,0.2,11.5,1.83,18.3,2.6,13.0,8.0,10.0,55.0,56.3,14.9,105.71,7.8
TJ Leaf,IND,22,58,35,23,9.0,105.1,101.5,3.6,6.3,2.00,10.3,7.7,14.5,11.1,5.2,56.3,57.2,15.8,105.74,11.1
Trey Burke,DAL,26,58,16,42,19.4,107.0,108.4,-1.5,22.9,3.24,19.7,2.3,5.9,4.1,6.1,48.2,52.4,24.2,101.16,10.8
Willy Hernangomez,CHA,25,58,31,27,14.0,109.2,115.3,-6.2,11.2,1.03,12.7,13.0,24.0,18.2,12.2,54.4,58.7,20.6,102.82,11.8
Antonio Blakeney,CHI,22,57,14,43,14.5,102.9,110.8,-7.8,7.9,1.20,8.3,0.8,11.4,6.1,6.9,46.5,48.7,24.0,101.32,7.3
